Need for ART by age			
	Bangladesh		
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1976			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1977			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1978			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1979			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1980			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1981			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1982			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1983			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1984			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1985			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1986			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1987			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1988			
 0-4	0.031220	0.015983	0.015237
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.031220	0.015983	0.015237
1989			
 0-4	0.078673	0.040258	0.038415
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.078673	0.040258	0.038415
1990			
 0-4	0.129140	0.066066	0.063074
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000191	0.000124	0.000066
 20-24 	0.001010	0.000744	0.000266
 25-29 	0.003671	0.002880	0.000791
 30-34 	0.003342	0.002723	0.000619
 35-39 	0.003785	0.003160	0.000625
 40-44 	0.003390	0.002819	0.000571
 45-49 	0.005681	0.004642	0.001039
 50-54 	0.004182	0.003390	0.000792
 55-59 	0.002521	0.002059	0.000462
 60-64 	0.001634	0.001380	0.000254
 65-69 	0.001154	0.001012	0.000141
 70-74 	0.000774	0.000668	0.000106
 75-79 	0.000329	0.000297	0.000033
 80+ 	0.000035	0.000035	0.000000
Total	0.160837	0.091999	0.068838
1991			
 0-4	0.220805	0.112965	0.107840
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000946	0.000607	0.000339
 20-24 	0.007061	0.005126	0.001935
 25-29 	0.025423	0.019796	0.005627
 30-34 	0.025406	0.020600	0.004806
 35-39 	0.024325	0.020297	0.004028
 40-44 	0.022254	0.018569	0.003685
 45-49 	0.031405	0.025769	0.005637
 50-54 	0.024543	0.019930	0.004613
 55-59 	0.014672	0.011958	0.002714
 60-64 	0.009285	0.007790	0.001495
 65-69 	0.006423	0.005610	0.000813
 70-74 	0.004308	0.003744	0.000564
 75-79 	0.002006	0.001769	0.000237
 80+ 	0.000285	0.000284	0.000001
Total	0.419146	0.274812	0.144334
1992			
 0-4	0.362302	0.185349	0.176953
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.001800	0.001157	0.000643
 20-24 	0.019924	0.014272	0.005652
 25-29 	0.073925	0.057259	0.016666
 30-34 	0.079528	0.064273	0.015255
 35-39 	0.069196	0.057726	0.011470
 40-44 	0.061230	0.051301	0.009929
 45-49 	0.077953	0.064354	0.013599
 50-54 	0.062383	0.050840	0.011543
 55-59 	0.037155	0.030302	0.006853
 60-64 	0.023106	0.019325	0.003781
 65-69 	0.015653	0.013622	0.002030
 70-74 	0.010482	0.009171	0.001312
 75-79 	0.005185	0.004524	0.000662
 80+ 	0.000909	0.000887	0.000022
Total	0.900732	0.624362	0.276370
1993			
 0-4	0.547595	0.280133	0.267463
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.002027	0.001325	0.000702
 20-24 	0.038599	0.027337	0.011263
 25-29 	0.152015	0.117317	0.034698
 30-34 	0.173095	0.139595	0.033500
 35-39 	0.145596	0.121417	0.024179
 40-44 	0.120166	0.101082	0.019084
 45-49 	0.145028	0.120461	0.024567
 50-54 	0.115998	0.094924	0.021074
 55-59 	0.069137	0.056504	0.012633
 60-64 	0.042509	0.035534	0.006975
 65-69 	0.028288	0.024564	0.003724
 70-74 	0.018971	0.016660	0.002310
 75-79 	0.009702	0.008441	0.001261
 80+ 	0.001969	0.001886	0.000083
Total	1.610696	1.147181	0.463515
1994			
 0-4	0.811171	0.414983	0.396188
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.003082	0.002006	0.001076
 20-24 	0.063159	0.044468	0.018691
 25-29 	0.272035	0.209137	0.062897
 30-34 	0.322046	0.259082	0.062964
 35-39 	0.274897	0.228822	0.046075
 40-44 	0.209166	0.176288	0.032878
 45-49 	0.246642	0.205538	0.041105
 50-54 	0.195592	0.160313	0.035278
 55-59 	0.117297	0.095890	0.021406
 60-64 	0.071684	0.059883	0.011801
 65-69 	0.047212	0.040911	0.006301
 70-74 	0.031817	0.027926	0.003891
 75-79 	0.016557	0.014400	0.002157
 80+ 	0.003638	0.003457	0.000182
Total	2.685995	1.943104	0.742890
1995			
 0-4	1.182193	0.604822	0.577372
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.005104	0.003277	0.001828
 20-24 	0.099932	0.070238	0.029694
 25-29 	0.448344	0.343214	0.105130
 30-34 	0.554381	0.444640	0.109742
 35-39 	0.487273	0.404522	0.082751
 40-44 	0.348133	0.293449	0.054683
 45-49 	0.397038	0.331442	0.065595
 50-54 	0.315683	0.258801	0.056882
 55-59 	0.190675	0.155679	0.034996
 60-64 	0.116088	0.096842	0.019246
 65-69 	0.076095	0.065811	0.010283
 70-74 	0.051535	0.045158	0.006377
 75-79 	0.027294	0.023718	0.003576
 80+ 	0.006338	0.005990	0.000347
Total	4.306106	3.147602	1.158504
1996			
 0-4	1.685808	0.862516	0.823292
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.007413	0.004769	0.002644
 20-24 	0.152317	0.106704	0.045613
 25-29 	0.698465	0.532611	0.165854
 30-34 	0.905445	0.723940	0.181505
 35-39 	0.819526	0.678602	0.140924
 40-44 	0.565555	0.476340	0.089215
 45-49 	0.610688	0.510605	0.100083
 50-54 	0.490305	0.402194	0.088111
 55-59 	0.298869	0.243676	0.055194
 60-64 	0.181589	0.151273	0.030316
 65-69 	0.118793	0.102615	0.016178
 70-74 	0.080714	0.070649	0.010065
 75-79 	0.043664	0.037902	0.005761
 80+ 	0.010642	0.010011	0.000631
Total	6.669792	4.914408	1.755385
1997			
 0-4	2.398573	1.227250	1.171323
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.010657	0.006887	0.003770
 20-24 	0.227537	0.159089	0.068448
 25-29 	1.050888	0.799238	0.251649
 30-34 	1.424372	1.135906	0.288466
 35-39 	1.323362	1.093556	0.229806
 40-44 	0.909042	0.764827	0.144216
 45-49 	0.910701	0.762688	0.148013
 50-54 	0.739838	0.607820	0.132018
 55-59 	0.456606	0.371956	0.084651
 60-64 	0.277409	0.230874	0.046535
 65-69 	0.181441	0.156685	0.024756
 70-74 	0.123367	0.107919	0.015448
 75-79 	0.068279	0.059216	0.009062
 80+ 	0.017351	0.016276	0.001075
Total	10.119423	7.500187	2.619236
1998			
 0-4	3.382105	1.730539	1.651566
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.015220	0.009824	0.005396
 20-24 	0.332720	0.232149	0.100572
 25-29 	1.538394	1.167263	0.371130
 30-34 	2.171994	1.727673	0.444321
 35-39 	2.060834	1.699380	0.361454
 40-44 	1.441373	1.210772	0.230601
 45-49 	1.324495	1.110335	0.214159
 50-54 	1.084403	0.892146	0.192257
 55-59 	0.679942	0.553271	0.126671
 60-64 	0.413720	0.343811	0.069909
 65-69 	0.270511	0.233492	0.037019
 70-74 	0.183778	0.160637	0.023140
 75-79 	0.104007	0.090079	0.013927
 80+ 	0.027520	0.025758	0.001762
Total	15.031016	11.187130	3.843886
1999			
 0-4	4.751236	2.431163	2.320073
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021329	0.013705	0.007624
 20-24 	0.482695	0.335805	0.146891
 25-29 	2.215239	1.677518	0.537721
 30-34 	3.222375	2.556249	0.666126
 35-39 	3.123373	2.569950	0.553423
 40-44 	2.247989	1.884609	0.363380
 45-49 	1.907363	1.599748	0.307614
 50-54 	1.554898	1.280555	0.274343
 55-59 	0.993916	0.807923	0.185993
 60-64 	0.607120	0.503663	0.103457
 65-69 	0.396621	0.342130	0.054491
 70-74 	0.269543	0.235408	0.034135
 75-79 	0.155332	0.134340	0.020992
 80+ 	0.042684	0.039863	0.002821
Total	21.991714	16.412629	5.579085
2000			
 0-4	6.649525	3.402580	3.246945
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.030660	0.019704	0.010956
 20-24 	0.694808	0.482322	0.212486
 25-29 	3.227864	2.440949	0.786916
 30-34 	4.638115	3.670334	0.967780
 35-39 	4.658377	3.825095	0.833281
 40-44 	3.454955	2.890606	0.564349
 45-49 	2.762815	2.317619	0.445196
 50-54 	2.203576	1.816323	0.387253
 55-59 	1.438403	1.168601	0.269802
 60-64 	0.885063	0.733100	0.151963
 65-69 	0.577558	0.497947	0.079611
 70-74 	0.393580	0.343562	0.050018
 75-79 	0.229848	0.198525	0.031323
 80+ 	0.065270	0.060850	0.004420
Total	31.910418	23.868117	8.042301
2001			
 0-4	9.221612	4.718807	4.502805
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.044061	0.028304	0.015757
 20-24 	0.994230	0.689481	0.304750
 25-29 	4.650899	3.507217	1.143682
 30-34 	6.638785	5.244680	1.394106
 35-39 	6.864579	5.625847	1.238731
 40-44 	5.240609	4.376395	0.864214
 45-49 	4.046841	3.393900	0.652941
 50-54 	3.097950	2.555733	0.542216
 55-59 	2.063127	1.676164	0.386962
 60-64 	1.283264	1.061496	0.221768
 65-69 	0.836915	0.721252	0.115663
 70-74 	0.572506	0.499756	0.072750
 75-79 	0.337763	0.291378	0.046386
 80+ 	0.098844	0.092020	0.006824
Total	45.991985	34.482430	11.509555
2002			
 0-4	12.696509	6.497061	6.199449
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.062628	0.040192	0.022436
 20-24 	1.420712	0.984452	0.436261
 25-29 	6.692805	5.033342	1.659463
 30-34 	9.432231	7.441060	1.991171
 35-39 	10.025878	8.201838	1.824040
 40-44 	7.847799	6.542847	1.304952
 45-49 	6.019278	5.044388	0.974890
 50-54 	4.326150	3.572167	0.753984
 55-59 	2.938545	2.388660	0.549884
 60-64 	1.852376	1.530493	0.321883
 65-69 	1.208732	1.041294	0.167438
 70-74 	0.830509	0.725321	0.105189
 75-79 	0.493532	0.425301	0.068231
 80+ 	0.148605	0.138180	0.010425
Total	65.996290	49.606595	16.389695
2003			
 0-4	17.131628	8.766679	8.364949
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.092027	0.058523	0.033505
 20-24 	2.021550	1.399400	0.622150
 25-29 	9.599897	7.202540	2.397357
 30-34 	13.328535	10.499549	2.828985
 35-39 	14.524498	11.860707	2.663791
 40-44 	11.598619	9.655755	1.942864
 45-49 	9.040347	7.567135	1.473213
 50-54 	6.021070	4.976149	1.044921
 55-59 	4.146675	3.373567	0.773108
 60-64 	2.656243	2.192604	0.463639
 65-69 	1.736527	1.495267	0.241261
 70-74 	1.198047	1.047100	0.150947
 75-79 	0.716626	0.617015	0.099610
 80+ 	0.221717	0.205951	0.015766
Total	94.034006	70.917942	23.116065
2004			
 0-4	22.557239	11.543178	11.014061
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.131342	0.082694	0.048648
 20-24 	2.849551	1.968770	0.880781
 25-29 	13.672369	10.233191	3.439177
 30-34 	18.776294	14.764339	4.011956
 35-39 	20.758472	16.916230	3.842242
 40-44 	16.903648	14.050433	2.853215
 45-49 	13.544071	11.316927	2.227144
 50-54 	8.389937	6.937347	1.452589
 55-59 	5.768325	4.695833	1.072492
 60-64 	3.764822	3.104651	0.660172
 65-69 	2.469977	2.124829	0.345148
 70-74 	1.709024	1.494447	0.214577
 75-79 	1.030779	0.886878	0.143901
 80+ 	0.327341	0.303703	0.023638
Total	132.653191	100.423450	32.229740
2005			
 0-4	28.813517	14.744746	14.068771
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.178108	0.110334	0.067775
 20-24 	3.945454	2.711352	1.234102
 25-29 	19.177731	14.294401	4.883330
 30-34 	26.549689	20.812283	5.737406
 35-39 	28.763836	23.363495	5.400341
 40-44 	24.192744	20.058388	4.134357
 45-49 	19.925003	16.595312	3.329691
 50-54 	11.681730	9.646807	2.034923
 55-59 	7.844188	6.379339	1.464849
 60-64 	5.217831	4.292892	0.924938
 65-69 	3.441294	2.952885	0.488409
 70-74 	2.386815	2.085344	0.301471
 75-79 	1.457076	1.251801	0.205275
 80+ 	0.475564	0.440507	0.035057
Total	184.050581	139.739886	44.310696
2006			
 0-4	32.621435	16.692729	15.928706
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.231592	0.138585	0.093007
 20-24 	5.304308	3.600307	1.704001
 25-29 	26.395711	19.480737	6.914974
 30-34 	36.938764	28.690556	8.248208
 35-39 	39.442331	31.794774	7.647557
 40-44 	34.092394	28.068259	6.024135
 45-49 	28.709145	23.730602	4.978542
 50-54 	16.291141	13.357204	2.933937
 55-59 	10.453425	8.443759	2.009666
 60-64 	7.069110	5.769821	1.299289
 65-69 	4.688634	3.992100	0.696534
 70-74 	3.252714	2.827538	0.425176
 75-79 	2.017744	1.723484	0.294260
 80+ 	0.681600	0.628358	0.053243
Total	248.190047	188.938812	59.251235
2007			
