Need for ART by age			
	India		
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1976			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1977			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1978			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1979			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1980			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1981			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1982			
 0-4	21.958651	11.324921	10.633730
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	21.958651	11.324921	10.633730
1983			
 0-4	42.235423	21.799024	20.436400
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	42.235423	21.799024	20.436400
1984			
 0-4	76.499803	39.509558	36.990244
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.077962	0.049190	0.028773
 20-24 	0.395955	0.286559	0.109397
 25-29 	1.200453	0.927619	0.272834
 30-34 	1.227839	0.983557	0.244283
 35-39 	1.338732	1.087481	0.251251
 40-44 	1.073951	0.873240	0.200711
 45-49 	1.351562	1.079387	0.272174
 50-54 	0.983574	0.776384	0.207189
 55-59 	0.604646	0.483018	0.121628
 60-64 	0.382929	0.317648	0.065281
 65-69 	0.260432	0.223891	0.036541
 70-74 	0.176365	0.146900	0.029465
 75-79 	0.079251	0.069257	0.009994
 80+ 	0.008454	0.008454	0.000000
Total	85.661908	46.822143	38.839765
1985			
 0-4	119.450631	61.726901	57.723730
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.353581	0.217978	0.135603
 20-24 	2.642329	1.874163	0.768166
 25-29 	8.258336	6.313485	1.944851
 30-34 	9.261176	7.377580	1.883596
 35-39 	9.031045	7.319035	1.712010
 40-44 	7.595022	6.179092	1.415930
 45-49 	8.530004	6.825885	1.704119
 50-54 	6.657777	5.252384	1.405393
 55-59 	4.067820	3.229010	0.838810
 60-64 	2.518007	2.066954	0.451054
 65-69 	1.671221	1.427813	0.243408
 70-74 	1.119596	0.941862	0.177734
 75-79 	0.563809	0.477630	0.086179
 80+ 	0.085408	0.084842	0.000566
Total	181.805762	111.314614	70.491148
1986			
 0-4	187.229167	96.803102	90.426065
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.577887	0.351040	0.226847
 20-24 	6.920383	4.790224	2.130159
 25-29 	22.879077	17.283167	5.595910
 30-34 	27.633447	21.851367	5.782080
 35-39 	25.364446	20.479864	4.884582
 40-44 	21.574720	17.522931	4.051789
 45-49 	22.400699	17.932136	4.468563
 50-54 	18.233888	14.362022	3.871866
 55-59 	11.099415	8.752866	2.346549
 60-64 	6.759983	5.491701	1.268282
 65-69 	4.380182	3.711660	0.668522
 70-74 	2.893631	2.450352	0.443279
 75-79 	1.562979	1.300242	0.262737
 80+ 	0.305869	0.293918	0.011951
Total	359.815775	233.376593	126.439181
1987			
 0-4	283.277709	146.532215	136.745494
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.522957	0.308574	0.214383
 20-24 	12.993567	8.757866	4.235701
 25-29 	45.844089	34.181216	11.662873
 30-34 	58.660110	45.957367	12.702743
 35-39 	53.020138	42.597853	10.422285
 40-44 	44.340489	35.866939	8.473550
 45-49 	43.732840	34.955586	8.777254
 50-54 	36.383727	28.563149	7.820578
 55-59 	22.090575	17.289809	4.800766
 60-64 	13.323344	10.713333	2.610011
 65-69 	8.445434	7.091260	1.354174
 70-74 	5.521061	4.678354	0.842707
 75-79 	3.080370	2.538664	0.541705
 80+ 	0.727075	0.677687	0.049388
Total	631.963484	420.709873	211.253610
1988			
 0-4	442.196622	228.943767	213.252855
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.765605	0.442204	0.323401
 20-24 	19.884027	13.088057	6.795971
 25-29 	77.824929	57.209532	20.615397
 30-34 	103.444386	80.172617	23.271769
 35-39 	95.352276	76.152082	19.200193
 40-44 	77.072699	61.991365	15.081334
 45-49 	73.846541	58.846595	14.999947
 50-54 	61.419619	47.984730	13.434889
 55-59 	37.412922	29.035056	8.377867
 60-64 	22.443635	17.859510	4.584125
 65-69 	13.963726	11.609166	2.354560
 70-74 	9.054656	7.645440	1.409217
 75-79 	5.121833	4.191758	0.930075
 80+ 	1.371643	1.255701	0.115941
Total	1041.175118	696.427578	344.747541
1989			
 0-4	706.533119	366.340656	340.192462
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.046930	0.589099	0.457831
 20-24 	28.536822	18.367947	10.168875
 25-29 	120.875009	87.447873	33.427137
 30-34 	166.358042	127.373409	38.984633
 35-39 	157.974739	125.224705	32.750034
 40-44 	124.050951	99.079576	24.971376
 45-49 	116.317883	92.206471	24.111412
 50-54 	95.978785	74.476536	21.502249
 55-59 	58.712682	45.117682	13.595000
 60-64 	35.142137	27.653577	7.488561
 65-69 	21.587256	17.758721	3.828535
 70-74 	13.901620	11.657733	2.243887
 75-79 	7.868088	6.410202	1.457886
 80+ 	2.301937	2.068976	0.232961
Total	1657.185999	1101.773161	555.412838
1990			
 0-4	1161.604274	603.447897	558.156377
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.740078	0.957143	0.782935
 20-24 	40.481062	25.568885	14.912177
 25-29 	180.753761	128.491422	52.262339
 30-34 	256.313038	193.694624	62.618413
 35-39 	249.810123	196.210544	53.599579
 40-44 	194.487062	154.093451	40.393611
 45-49 	178.016395	140.037310	37.979085
 50-54 	145.493855	111.913054	33.580800
 55-59 	89.434928	67.942904	21.492023
 60-64 	53.510966	41.593990	11.916976
 65-69 	32.663497	26.579033	6.084463
 70-74 	20.919364	17.382607	3.536757
 75-79 	11.808186	9.565511	2.242675
 80+ 	3.612228	3.204678	0.407549
Total	2620.648816	1720.683056	899.965761
1991			
 0-4	1926.818498	1002.990078	923.828419
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.806408	1.509118	1.297290
 20-24 	59.245597	36.762389	22.483208
 25-29 	270.110023	188.560717	81.549306
 30-34 	389.991399	290.666154	99.325245
 35-39 	387.880247	301.401932	86.478315
 40-44 	305.271112	239.706106	65.565006
 45-49 	271.539042	211.482570	60.056472
 50-54 	220.270139	167.646019	52.624120
 55-59 	136.125661	102.057085	34.068576
 60-64 	81.514169	62.511400	19.002768
 65-69 	49.716587	40.009762	9.706825
 70-74 	31.734155	26.093796	5.640359
 75-79 	17.869654	14.359270	3.510384
 80+ 	5.520332	4.855346	0.664985
Total	4156.413022	2690.611742	1465.801280
1992			
 0-4	3202.904412	1670.165366	1532.739046
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	4.724122	2.485009	2.239113
 20-24 	90.435163	55.105447	35.329716
 25-29 	413.140619	283.380072	129.760547
 30-34 	598.235891	439.532856	158.703035
 35-39 	602.016464	462.154432	139.862032
 40-44 	487.971438	379.505934	108.465504
 45-49 	419.517624	322.810421	96.707204
 50-54 	338.502650	254.584422	83.918228
 55-59 	210.728096	155.680558	55.047538
 60-64 	126.285179	95.431169	30.854011
 65-69 	77.296852	61.517272	15.779579
 70-74 	49.267116	40.060791	9.206324
 75-79 	27.744183	22.062972	5.681211
 80+ 	8.433008	7.381068	1.051939
Total	6657.202816	4251.857789	2405.345028
1993			
 0-4	5234.496511	2733.239992	2501.256519
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.008480	4.122491	3.885989
 20-24 	145.644636	87.086443	58.558193
 25-29 	649.789189	438.537474	211.251715
 30-34 	935.948463	677.689868	258.258595
 35-39 	945.023731	716.069960	228.953771
 40-44 	795.408983	612.384382	183.024601
 45-49 	662.788533	503.322433	159.466100
 50-54 	531.440887	394.632599	136.808288
 55-59 	333.598208	242.665686	90.932522
 60-64 	200.198543	148.950387	51.248156
 65-69 	123.218566	96.959409	26.259157
 70-74 	78.560858	63.165325	15.395533
 75-79 	44.340565	34.847763	9.492802
 80+ 	13.112646	11.439423	1.673223
Total	10701.578800	6765.113635	3936.465165
1994			
 0-4	8241.617119	4308.206690	3933.410429
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	13.438603	6.772777	6.665826
 20-24 	239.407704	140.368022	99.039682
 25-29 	1047.767681	696.362721	351.404960
 30-34 	1494.056124	1066.056444	427.999680
 35-39 	1506.919987	1126.791832	380.128155
 40-44 	1309.867393	997.815792	312.051601
 45-49 	1072.639285	804.115557	268.523729
 50-54 	850.190236	623.078581	227.111655
 55-59 	537.242437	384.866341	152.376096
 60-64 	323.545484	236.950514	86.594970
 65-69 	200.136807	155.634513	44.502293
 70-74 	127.847933	101.674066	26.173867
 75-79 	72.405584	56.209020	16.196564
 80+ 	20.890760	18.162523	2.728237
Total	17057.973138	10723.065393	6334.907745
1995			
 0-4	12288.417421	6429.795236	5858.622186
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	22.082369	10.900687	11.181682
 20-24 	404.056278	232.656484	171.399794
 25-29 	1698.578921	1112.495317	586.083604
 30-34 	2417.720355	1700.326351	717.394004
 35-39 	2430.248534	1793.803194	636.445340
 40-44 	2156.522739	1624.834509	531.688231
 45-49 	1766.974239	1309.297816	457.676423
 50-54 	1375.173212	994.705124	380.468088
 55-59 	870.924554	614.974597	255.949957
 60-64 	527.945328	380.699467	147.245861
 65-69 	327.598278	251.599768	75.998510
 70-74 	209.905682	165.193015	44.712667
 75-79 	119.355227	91.526753	27.828474
 80+ 	33.959059	29.388564	4.570495
Total	26649.462196	16742.196882	9907.265314
1996			
 0-4	17156.163961	8984.665121	8171.498840
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	34.802295	16.837872	17.964423
 20-24 	660.371207	373.073714	287.297493
 25-29 	2739.343508	1767.521238	971.822270
 30-34 	3916.303486	2715.574913	1200.728573
 35-39 	3912.883018	2852.197922	1060.685097
 40-44 	3512.919440	2617.957903	894.961537
 45-49 	2921.673576	2143.422005	778.251572
 50-54 	2217.275975	1583.948965	633.327010
 55-59 	1402.223276	977.287106	424.936170
 60-64 	857.207318	608.925012	248.282306
 65-69 	532.332661	403.537334	128.795327
 70-74 	342.117140	266.613462	75.503678
 75-79 	195.581059	148.194172	47.386887
 80+ 	55.638378	47.841338	7.797039
Total	40456.836299	25507.598076	14949.238223
1997			
 0-4	22448.698601	11766.193249	10682.505352
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	53.530782	25.520526	28.010256
 20-24 	1040.983487	576.568968	464.414519
 25-29 	4312.348657	2739.945106	1572.403551
 30-34 	6246.232431	4271.845764	1974.386667
 35-39 	6193.472008	4460.632084	1732.839924
 40-44 	5579.025062	4113.136101	1465.888961
 45-49 	4770.500413	3471.713604	1298.786809
 50-54 	3502.567255	2473.369530	1029.197725
 55-59 	2206.264688	1520.399349	685.865339
 60-64 	1362.101585	953.760504	408.341082
 65-69 	843.946286	631.070919	212.875367
 70-74 	543.680246	419.908993	123.771253
 75-79 	312.961542	234.430095	78.531447
 80+ 	90.447246	77.086354	13.360892
Total	59506.760288	37735.581145	21771.179143
1998			
 0-4	27745.850998	14554.655926	13191.195072
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	72.858902	34.246128	38.612774
 20-24 	1554.389544	843.430956	710.958588
 25-29 	6524.576993	4079.644599	2444.932394
 30-34 	9643.767811	6507.742455	3136.025356
 35-39 	9495.241943	6760.349770	2734.892174
 40-44 	8533.391300	6226.769066	2306.622234
 45-49 	7533.150505	5446.981400	2086.169106
 50-54 	5355.236704	3744.613907	1610.622797
 55-59 	3343.729862	2282.279282	1061.450581
 60-64 	2082.769060	1438.923023	643.846037
 65-69 	1285.575931	947.900646	337.675284
 70-74 	828.655717	634.752735	193.902982
 75-79 	481.196814	356.650877	124.545937
 80+ 	143.463395	120.870482	22.592912
Total	84623.855478	53979.811250	30644.044228
1999			
 0-4	32599.971664	17114.838676	15485.132988
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	90.825653	42.376541	48.449113
 20-24 	2171.318534	1154.209946	1017.108589
 25-29 	9409.471044	5787.803587	3621.667457
 30-34 	14199.022369	9460.174759	4738.847610
 35-39 	13946.301338	9821.010239	4125.291100
 40-44 	12480.754494	9021.957436	3458.797058
 45-49 	11301.295712	8128.038078	3173.257633
 50-54 	7872.312290	5465.689285	2406.623005
 55-59 	4835.549788	3274.038094	1561.511694
 60-64 	3026.201553	2065.826733	960.374821
 65-69 	1862.803877	1354.586765	508.217112
 70-74 	1197.893358	910.476568	287.416790
 75-79 	702.919569	516.267795	186.651774
 80+ 	218.986242	181.926819	37.059423
Total	115915.627486	74299.221320	41616.406166
2000			
 0-4	36660.406387	19261.177307	17399.229080
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	103.494092	48.161037	55.333055
 20-24 	2820.198043	1469.541994	1350.656049
 25-29 	13005.908003	7876.150343	5129.757660
 30-34 	19650.012604	12931.854691	6718.157913
 35-39 	19522.674873	13603.051437	5919.623436
 40-44 	17399.453419	12472.193451	4927.259968
 45-49 	15973.062965	11433.348587	4539.714378
 50-54 	11086.012383	7664.711746	3421.300636
 55-59 	6647.477684	4470.372063	2177.105621
 60-64 	4155.613323	2807.633144	1347.980179
 65-69 	2556.964598	1834.597912	722.366686
 70-74 	1635.331222	1233.280363	402.050858
 75-79 	970.186795	707.475477	262.711318
 80+ 	318.915533	260.753193	58.162340
Total	152505.711924	98074.302746	54431.409178
2001			
 0-4	39712.986732	20879.191246	18833.795486
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	113.316848	52.759721	60.557127
 20-24 	3405.413492	1741.104405	1664.309087
 25-29 	16740.893869	9974.443329	6766.450541
 30-34 	25992.175201	16889.211670	9102.963531
 35-39 	26047.864273	17961.351746	8086.512527
 40-44 	23100.628708	16430.359131	6670.269577
 45-49 	21304.906700	15180.980835	6123.925865
 50-54 	14931.534035	10302.184296	4629.349739
 55-59 	8685.780849	5807.574196	2878.206654
 60-64 	5401.261162	3617.035461	1784.225700
 65-69 	3327.752562	2356.614223	971.138338
 70-74 	2111.275343	1578.983814	532.291529
 75-79 	1264.891463	917.548292	347.343171
 80+ 	441.616045	354.992062	86.623983
Total	192582.297282	124044.334426	68537.962856
2002			
 0-4	41682.997536	21927.188980	19755.808556
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	122.311299	57.274107	65.037192
 20-24 	3836.472514	1927.053438	1909.419075
 25-29 	20330.018595	11910.714481	8419.304113
 30-34 	32680.975586	20962.335846	11718.639740
 35-39 	33210.445908	22663.725830	10546.720078
 40-44 	29296.911598	20682.929321	8613.982277
 45-49 	26917.295258	19092.656677	7824.638580
 50-54 	19295.661285	13307.005646	5988.655640
 55-59 	10815.117905	7194.811020	3620.306885
 60-64 	6673.835785	4436.461067	2237.374718
 65-69 	4124.559351	2883.898727	1240.660624
 70-74 	2589.226277	1918.754787	670.471490
 75-79 	1563.520586	1130.182709	433.337877
 80+ 	581.608082	459.549133	122.058949
Total	233720.957564	150554.541771	83166.415793
2003			
 0-4	38641.717743	20339.045586	18302.672157
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	137.302340	65.424128	71.878212
 20-24 	4053.367603	2003.379582	2049.988021
 25-29 	23384.563511	13464.957649	9919.605862
 30-34 	39206.900015	24815.927542	14390.972473
 35-39 	40588.369681	27413.866065	13174.503616
 40-44 	35655.877299	24988.590861	10667.286438
 45-49 	32460.919558	22918.621340	9542.298218
 50-54 	23905.824948	16489.851041	7415.973907
 55-59 	12940.667214	8575.098343	4365.568871
 60-64 	7889.208713	5212.007564	2677.201149
 65-69 	4889.150901	3377.264160	1511.886742
 70-74 	3035.201329	2227.113037	808.088291
 75-79 	1842.031045	1328.303655	513.727390
 80+ 	730.571535	567.746890	162.824644
Total	269361.673435	173787.197443	95574.475992
2004			
 0-4	35948.453506	18928.316231	17020.137276
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	166.149555	81.028719	85.120836
 20-24 	4046.256362	1971.499177	2074.757186
 25-29 	25600.972703	14484.766966	11116.205737
 30-34 	45179.419262	28208.295814	16971.123448
 35-39 	47595.499781	31820.342287	15775.157494
 40-44 	41844.043084	29108.959976	12735.083107
 45-49 	37710.709413	26504.907185	11205.802228
 50-54 	28349.954328	19555.757431	8794.196897
 55-59 	15025.846838	9935.999501	5089.847338
 60-64 	8985.283938	5903.405724	3081.878214
 65-69 	5564.657992	3800.992092	1763.665900
 70-74 	3423.462330	2486.293411	937.168920
 75-79 	2080.393137	1497.075964	583.317173
 80+ 	878.753558	672.556299	206.197259
Total	302399.855788	194960.196776	107439.659012
2005			
 0-4	33959.534345	17883.883760	16075.650584
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	223.000257	111.503661	111.496596
 20-24 	3855.283710	1855.830923	1999.452787
 25-29 	26883.550873	14961.456010	11922.094863
 30-34 	50825.581715	31345.505174	19480.076541
 35-39 	53581.985610	35488.980152	18093.005458
 40-44 	47817.558695	33041.607932	14775.950763
 45-49 	42705.852715	29907.768796	12798.083920
 50-54 	32423.355992	22373.612639	10049.743352
 55-59 	17132.363168	11339.504334	5792.858835
 60-64 	9974.978217	6526.913355	3448.064862
 65-69 	6142.141441	4156.949215	1985.192225
 70-74 	3757.117371	2702.444926	1054.672446
 75-79 	2277.632087	1636.483853	641.148234
 80+ 	1022.314091	772.503905	249.810185
