Incidence per 1000 by age and sex			
	Vietnam		
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1976			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1977			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1978			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1979			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1980			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1981			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1982			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1983			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1984			
 0-4	0.000001	0.000001	0.000001
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000036	0.000062	0.000010
 20-24 	0.000112	0.000201	0.000023
 25-29 	0.000139	0.000255	0.000024
 30-34 	0.000136	0.000253	0.000020
 35-39 	0.000114	0.000219	0.000016
 40-44 	0.000089	0.000171	0.000013
 45-49 	0.000065	0.000126	0.000010
 50-54 	0.000047	0.000092	0.000008
 55-59 	0.000036	0.000072	0.000006
 60-64 	0.000032	0.000066	0.000004
 65-69 	0.000032	0.000068	0.000003
 70-74 	0.000029	0.000065	0.000004
 75-79 	0.000017	0.000043	0.000001
 80+ 	0.000000	0.000000	0.000000
Total	0.000050	0.000093	0.000009
1985			
 0-4	0.000002	0.000002	0.000002
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000036	0.000060	0.000013
 20-24 	0.000112	0.000194	0.000029
 25-29 	0.000138	0.000246	0.000030
 30-34 	0.000135	0.000245	0.000025
 35-39 	0.000113	0.000212	0.000021
 40-44 	0.000088	0.000166	0.000016
 45-49 	0.000064	0.000122	0.000013
 50-54 	0.000047	0.000089	0.000010
 55-59 	0.000036	0.000070	0.000007
 60-64 	0.000032	0.000064	0.000005
 65-69 	0.000031	0.000065	0.000004
 70-74 	0.000029	0.000063	0.000005
 75-79 	0.000017	0.000042	0.000001
 80+ 	0.000000	0.000000	0.000000
Total	0.000051	0.000091	0.000011
1986			
 0-4	0.000003	0.000003	0.000003
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000072	0.000121	0.000021
 20-24 	0.000222	0.000393	0.000048
 25-29 	0.000274	0.000499	0.000050
 30-34 	0.000268	0.000495	0.000042
 35-39 	0.000226	0.000430	0.000034
 40-44 	0.000174	0.000336	0.000027
 45-49 	0.000128	0.000246	0.000022
 50-54 	0.000093	0.000179	0.000017
 55-59 	0.000072	0.000142	0.000012
 60-64 	0.000063	0.000129	0.000008
 65-69 	0.000062	0.000132	0.000007
 70-74 	0.000058	0.000128	0.000009
 75-79 	0.000033	0.000086	0.000002
 80+ 	0.000000	0.000000	0.000000
Total	0.000102	0.000187	0.000019
1987			
 0-4	0.000006	0.000006	0.000006
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000143	0.000238	0.000046
 20-24 	0.000441	0.000774	0.000104
 25-29 	0.000545	0.000983	0.000107
 30-34 	0.000531	0.000975	0.000091
 35-39 	0.000452	0.000848	0.000074
 40-44 	0.000346	0.000661	0.000059
 45-49 	0.000255	0.000486	0.000047
 50-54 	0.000184	0.000352	0.000036
 55-59 	0.000143	0.000279	0.000026
 60-64 	0.000125	0.000255	0.000018
 65-69 	0.000123	0.000260	0.000016
 70-74 	0.000115	0.000252	0.000018
 75-79 	0.000066	0.000169	0.000004
 80+ 	0.000000	0.000000	0.000000
Total	0.000205	0.000373	0.000042
1988			
 0-4	0.000013	0.000013	0.000013
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000319	0.000534	0.000100
 20-24 	0.000987	0.001737	0.000228
 25-29 	0.001220	0.002204	0.000234
 30-34 	0.001189	0.002187	0.000199
 35-39 	0.001016	0.001901	0.000161
 40-44 	0.000775	0.001486	0.000129
 45-49 	0.000570	0.001090	0.000103
 50-54 	0.000412	0.000790	0.000078
 55-59 	0.000319	0.000625	0.000056
 60-64 	0.000279	0.000572	0.000039
 65-69 	0.000275	0.000584	0.000034
 70-74 	0.000258	0.000565	0.000040
 75-79 	0.000148	0.000378	0.000009
 80+ 	0.000000	0.000000	0.000000
Total	0.000463	0.000846	0.000092
1989			
 0-4	0.000028	0.000028	0.000028
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000704	0.001182	0.000216
 20-24 	0.002185	0.003855	0.000494
 25-29 	0.002703	0.004892	0.000506
 30-34 	0.002630	0.004852	0.000431
 35-39 	0.002256	0.004214	0.000349
 40-44 	0.001723	0.003305	0.000280
 45-49 	0.001263	0.002421	0.000223
 50-54 	0.000911	0.001755	0.000170
 55-59 	0.000706	0.001386	0.000122
 60-64 	0.000619	0.001269	0.000085
 65-69 	0.000607	0.001296	0.000074
 70-74 	0.000573	0.001253	0.000087
 75-79 	0.000328	0.000837	0.000020
 80+ 	0.000000	0.000000	0.000000
Total	0.001036	0.001897	0.000200
1990			
 0-4	0.000058	0.000058	0.000057
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.001476	0.002486	0.000448
 20-24 	0.004579	0.008092	0.001022
 25-29 	0.005662	0.010261	0.001046
 30-34 	0.005506	0.010176	0.000890
 35-39 	0.004729	0.008828	0.000720
 40-44 	0.003633	0.006953	0.000579
 45-49 	0.002645	0.005080	0.000461
 50-54 	0.001909	0.003683	0.000351
 55-59 	0.001476	0.002903	0.000251
 60-64 	0.001298	0.002663	0.000176
 65-69 	0.001268	0.002719	0.000153
 70-74 	0.001200	0.002630	0.000181
 75-79 	0.000687	0.001747	0.000041
 80+ 	0.000000	0.000000	0.000000
Total	0.002190	0.004016	0.000416
1991			
 0-4	0.000121	0.000121	0.000120
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.003165	0.005333	0.000954
 20-24 	0.009789	0.017314	0.002173
 25-29 	0.012110	0.021956	0.002225
 30-34 	0.011769	0.021767	0.001892
 35-39 	0.010109	0.018870	0.001530
 40-44 	0.007824	0.014910	0.001234
 45-49 	0.005655	0.010875	0.000981
 50-54 	0.004083	0.007887	0.000748
 55-59 	0.003150	0.006204	0.000532
 60-64 	0.002779	0.005697	0.000375
 65-69 	0.002708	0.005818	0.000325
 70-74 	0.002565	0.005631	0.000385
 75-79 	0.001469	0.003724	0.000085
 80+ 	0.000000	0.000000	0.000000
Total	0.004722	0.008667	0.000889
1992			
 0-4	0.000244	0.000246	0.000242
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.006501	0.010977	0.001933
 20-24 	0.020073	0.035570	0.004395
 25-29 	0.024860	0.045134	0.004502
 30-34 	0.024157	0.044737	0.003827
 35-39 	0.020733	0.038764	0.003094
 40-44 	0.016162	0.030669	0.002498
 45-49 	0.011603	0.022369	0.001985
 50-54 	0.008387	0.016226	0.001515
 55-59 	0.006455	0.012743	0.001074
 60-64 	0.005708	0.011711	0.000760
 65-69 	0.005558	0.011959	0.000658
 70-74 	0.005254	0.011578	0.000781
 75-79 	0.003020	0.007637	0.000171
 80+ 	0.000000	0.000000	0.000000
Total	0.009769	0.017963	0.001806
1993			
 0-4	0.000478	0.000481	0.000475
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.013144	0.022273	0.003819
 20-24 	0.040603	0.072163	0.008686
 25-29 	0.050356	0.091636	0.008899
 30-34 	0.048948	0.090817	0.007564
 35-39 	0.041957	0.078669	0.006115
 40-44 	0.032885	0.062216	0.004937
 45-49 	0.023526	0.045484	0.003928
 50-54 	0.016995	0.032964	0.002996
 55-59 	0.013058	0.025868	0.002123
 60-64 	0.011566	0.023774	0.001501
 65-69 	0.011267	0.024279	0.001302
 70-74 	0.010604	0.023502	0.001545
 75-79 	0.006146	0.015503	0.000339
 80+ 	0.000000	0.000000	0.000000
Total	0.019946	0.036774	0.003588
1994			
 0-4	0.000915	0.000921	0.000910
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.025886	0.043887	0.007476
 20-24 	0.080079	0.142450	0.017027
 25-29 	0.099365	0.180942	0.017443
 30-34 	0.096617	0.179297	0.014824
 35-39 	0.082697	0.155268	0.011980
 40-44 	0.065023	0.122654	0.009670
 45-49 	0.046620	0.090062	0.007713
 50-54 	0.033540	0.065110	0.005877
 55-59 	0.025747	0.051087	0.004164
 60-64 	0.022810	0.046932	0.002937
 65-69 	0.022249	0.047929	0.002551
 70-74 	0.020845	0.046380	0.003025
 75-79 	0.012186	0.030668	0.000675
 80+ 	0.000000	0.000000	0.000000
Total	0.039698	0.073261	0.007070
1995			
 0-4	0.001707	0.001716	0.001696
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.048517	0.082175	0.014044
 20-24 	0.150515	0.267635	0.032061
 25-29 	0.186526	0.339753	0.032824
 30-34 	0.181484	0.336587	0.027895
 35-39 	0.155138	0.291354	0.022532
 40-44 	0.122115	0.229893	0.018183
 45-49 	0.088158	0.169673	0.014545
 50-54 	0.062972	0.122283	0.011067
 55-59 	0.048328	0.095945	0.007845
 60-64 	0.042783	0.088092	0.005515
 65-69 	0.041801	0.089959	0.004798
 70-74 	0.039017	0.087015	0.005683
 75-79 	0.022964	0.057737	0.001296
 80+ 	0.000000	0.000000	0.000000
Total	0.075262	0.138909	0.013392
1996			
 0-4	0.003117	0.003135	0.003099
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.083138	0.139469	0.025363
 20-24 	0.257967	0.455640	0.058022
 25-29 	0.318959	0.577989	0.059372
 30-34 	0.310321	0.572569	0.050449
 35-39 	0.264987	0.495412	0.040732
 40-44 	0.208545	0.390534	0.032863
 45-49 	0.151887	0.289372	0.026351
 50-54 	0.107727	0.208117	0.020032
 55-59 	0.082655	0.163279	0.014203
 60-64 	0.073005	0.149835	0.009955
 65-69 	0.071432	0.152996	0.008670
 70-74 	0.066571	0.147918	0.010255
 75-79 	0.039207	0.098458	0.002375
 80+ 	0.000000	0.000000	0.000000
Total	0.130080	0.238817	0.024404
1997			
 0-4	0.005462	0.005492	0.005431
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.121292	0.198988	0.041494
 20-24 	0.374924	0.651520	0.095066
 25-29 	0.461890	0.826165	0.097267
 30-34 	0.448930	0.818450	0.082634
 35-39 	0.383029	0.707933	0.066694
 40-44 	0.301178	0.557746	0.053805
 45-49 	0.221291	0.413918	0.043191
 50-54 	0.156129	0.297645	0.032836
 55-59 	0.119770	0.233479	0.023288
 60-64 	0.105341	0.214156	0.016289
 65-69 	0.103154	0.218661	0.014193
 70-74 	0.096300	0.211324	0.016767
 75-79 	0.056242	0.140880	0.003909
 80+ 	0.000000	0.000000	0.000000
Total	0.190518	0.345120	0.040323
1998			
 0-4	0.008939	0.008986	0.008890
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.150631	0.238164	0.060612
 20-24 	0.461747	0.780600	0.138974
 25-29 	0.566037	0.990059	0.142234
 30-34 	0.548967	0.980873	0.120812
 35-39 	0.468079	0.848235	0.097484
 40-44 	0.367694	0.668068	0.078635
 45-49 	0.272132	0.495587	0.063124
 50-54 	0.191887	0.357213	0.048063
 55-59 	0.146848	0.279895	0.034075
 60-64 	0.128414	0.256640	0.023812
 65-69 	0.125707	0.262050	0.020751
 70-74 	0.117995	0.253234	0.024500
 75-79 	0.067685	0.168672	0.005688
 80+ 	0.000000	0.000000	0.000000
Total	0.236243	0.418237	0.059517
1999			
 0-4	0.013478	0.013545	0.013406
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.168126	0.253205	0.080525
 20-24 	0.509203	0.829648	0.184615
 25-29 	0.620527	1.052945	0.189023
 30-34 	0.599853	1.043131	0.160526
 35-39 	0.511221	0.901935	0.129516
 40-44 	0.401368	0.710116	0.104444
 45-49 	0.298550	0.526122	0.083806
 50-54 	0.211635	0.380947	0.064001
 55-59 	0.160928	0.297748	0.045313
 60-64 	0.139836	0.272940	0.031656
 65-69 	0.136676	0.278736	0.027590
 70-74 	0.129340	0.269428	0.032577
 75-79 	0.072371	0.178912	0.007453
 80+ 	0.000000	0.000000	0.000000
Total	0.262149	0.449937	0.079891
2000			
 0-4	0.018857	0.018949	0.018761
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.177535	0.254663	0.098035
 20-24 	0.530910	0.833211	0.224569
 25-29 	0.643560	1.058451	0.229994
 30-34 	0.619644	1.048316	0.195304
 35-39 	0.528170	0.906342	0.157580
 40-44 	0.414614	0.713236	0.127016
 45-49 	0.309250	0.527812	0.101880
 50-54 	0.221211	0.384181	0.078083
 55-59 	0.166629	0.299370	0.055190
 60-64 	0.143985	0.274342	0.038549
 65-69 	0.140417	0.280226	0.033608
 70-74 	0.134016	0.271009	0.039714
 75-79 	0.073092	0.179207	0.008910
 80+ 	0.000000	0.000000	0.000000
Total	0.275161	0.457541	0.098261
2001			
 0-4	0.024874	0.024992	0.024749
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.184622	0.254970	0.112040
 20-24 	0.546294	0.832304	0.256287
 25-29 	0.659440	1.058206	0.262532
 30-34 	0.633145	1.047900	0.222973
 35-39 	0.539798	0.905842	0.179879
 40-44 	0.423836	0.712505	0.144920
 45-49 	0.316444	0.526779	0.116204
 50-54 	0.228326	0.384978	0.089324
 55-59 	0.170440	0.299402	0.063072
 60-64 	0.146649	0.274252	0.044043
 65-69 	0.142745	0.280191	0.038428
 70-74 	0.137188	0.271134	0.045459
 75-79 	0.073248	0.178552	0.010035
 80+ 	0.000000	0.000000	0.000000
Total	0.285386	0.462764	0.113439
2002			
 0-4	0.018092	0.018179	0.018001
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.180903	0.238443	0.121486
 20-24 	0.528668	0.776190	0.277419
 25-29 	0.634872	0.987500	0.284238
 30-34 	0.607433	0.977883	0.241479
 35-39 	0.517716	0.845149	0.194753
 40-44 	0.406908	0.664554	0.156848
 45-49 	0.304067	0.491073	0.125742
 50-54 	0.221118	0.359500	0.096785
 55-59 	0.163841	0.279542	0.068361
 60-64 	0.140203	0.255933	0.047724
 65-69 	0.136142	0.261504	0.041659
 70-74 	0.131866	0.253124	0.049300
 75-79 	0.068830	0.166231	0.010775
 80+ 	0.000000	0.000000	0.000000
Total	0.277050	0.435827	0.123200
2003			
 0-4	0.022082	0.022207	0.021949
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.183254	0.236435	0.128292
 20-24 	0.532035	0.767671	0.292473
 25-29 	0.637355	0.977002	0.299727
 30-34 	0.608786	0.967645	0.254698
 35-39 	0.518953	0.836102	0.205348
 40-44 	0.408263	0.657293	0.165342
 45-49 	0.304922	0.485567	0.132525
 50-54 	0.222680	0.355397	0.102003
 55-59 	0.164439	0.276865	0.072199
 60-64 	0.140126	0.253231	0.050355
 65-69 	0.135912	0.258744	0.043945
 70-74 	0.132066	0.250384	0.051970
 75-79 	0.068316	0.164443	0.011377
 80+ 	0.000000	0.000000	0.000000
Total	0.281126	0.435820	0.131262
2004			
 0-4	0.025797	0.025990	0.025590
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.177609	0.223650	0.129972
 20-24 	0.512337	0.724811	0.295900
 25-29 	0.612010	0.922420	0.303279
 30-34 	0.583393	0.913757	0.257714
 35-39 	0.497177	0.789343	0.207732
 40-44 	0.391617	0.620460	0.167249
 45-49 	0.292411	0.458204	0.134005
 50-54 	0.214067	0.335042	0.103080
 55-59 	0.158290	0.261888	0.073240
 60-64 	0.133870	0.239120	0.050977
 65-69 	0.129727	0.244312	0.044456
 70-74 	0.126376	0.236219	0.052485
 75-79 	0.065051	0.155654	0.011676
 80+ 	0.000000	0.000000	0.000000
Total	0.272754	0.415799	0.134161
2005			
 0-4	0.027540	0.027795	0.027269
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.169403	0.209163	0.128197
 20-24 	0.486219	0.676948	0.291481
 25-29 	0.579419	0.861177	0.298757
 30-34 	0.551366	0.853089	0.253767
 35-39 	0.469506	0.736776	0.204549
 40-44 	0.370383	0.579168	0.164698
 45-49 	0.276492	0.427497	0.131891
 50-54 	0.202601	0.312307	0.101397
 55-59 	0.150539	0.245020	0.072366
 60-64 	0.126136	0.223286	0.050248
 65-69 	0.122178	0.228113	0.043776
 70-74 	0.119124	0.220276	0.051530
 75-79 	0.061325	0.145931	0.011721
 80+ 	0.000000	0.000000	0.000000
Total	0.260648	0.391988	0.133325
2006			
 0-4	0.026696	0.026966	0.026406
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.155136	0.185189	0.123924
 20-24 	0.441640	0.598346	0.281276
 25-29 	0.524291	0.760696	0.288263
 30-34 	0.497460	0.753534	0.244744
 35-39 	0.423188	0.650838	0.197331
 40-44 	0.334244	0.511521	0.158869
 45-49 	0.249761	0.377388	0.127154
 50-54 	0.183166	0.275513	0.097710
 55-59 	0.136877	0.216748	0.069981
 60-64 	0.113471	0.197278	0.048517
 65-69 	0.109763	0.201519	0.042213
 70-74 	0.107276	0.194323	0.049495
 75-79 	0.054927	0.129405	0.011442
 80+ 	0.000000	0.000000	0.000000
