Need for ART by age			
	South_Africa		
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1976			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1977			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1978			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1979			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1980			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1981			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1982			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1983			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1984			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1985			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1986			
 0-4	12.792343	6.490696	6.301647
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	12.792343	6.490696	6.301647
1987			
 0-4	60.520969	30.696129	29.824839
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	60.520969	30.696129	29.824839
1988			
 0-4	198.315363	100.566846	97.748516
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.054416	0.018664	0.035752
 20-24 	0.240137	0.106894	0.133243
 25-29 	0.843020	0.428266	0.414754
 30-34 	0.856328	0.471284	0.385044
 35-39 	1.110833	0.643276	0.467557
 40-44 	0.838716	0.484885	0.353831
 45-49 	1.286632	0.708498	0.578135
 50-54 	0.945925	0.498820	0.447105
 55-59 	0.564572	0.300907	0.263666
 60-64 	0.329339	0.187975	0.141364
 65-69 	0.205405	0.122447	0.082958
 70-74 	0.146000	0.075901	0.070099
 75-79 	0.055156	0.031094	0.024062
 80+ 	0.003725	0.003725	0.000000
Total	205.795567	104.649482	101.146084
1989			
 0-4	552.840075	280.314134	272.525941
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.381772	0.125142	0.256630
 20-24 	2.210519	0.943394	1.267126
 25-29 	7.445964	3.682023	3.763941
 30-34 	7.942211	4.277198	3.665013
 35-39 	9.361337	5.337252	4.024085
 40-44 	7.307773	4.190260	3.117512
 45-49 	9.691329	5.298938	4.392391
 50-54 	7.358907	3.832994	3.525914
 55-59 	4.400442	2.290747	2.109694
 60-64 	2.548529	1.420236	1.128293
 65-69 	1.542649	0.901264	0.641385
 70-74 	1.084199	0.565784	0.518415
 75-79 	0.466381	0.242589	0.223792
 80+ 	0.038667	0.037475	0.001192
Total	614.620754	313.459431	301.161323
1990			
 0-4	1376.062319	697.647289	678.415030
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.358678	0.431050	0.927629
 20-24 	9.826148	4.002382	5.823766
 25-29 	32.674573	15.656894	17.017678
 30-34 	35.804735	18.765211	17.039524
 35-39 	40.106565	22.343678	17.762887
 40-44 	31.809325	17.935375	13.873950
 45-49 	38.925080	20.987413	17.937668
 50-54 	29.857767	15.285682	14.572085
 55-59 	17.853448	9.057998	8.795450
 60-64 	10.308469	5.598001	4.710468
 65-69 	6.118708	3.502142	2.616567
 70-74 	4.230397	2.190204	2.040194
 75-79 	1.955886	0.967953	0.987933
 80+ 	0.191380	0.169392	0.021988
Total	1637.083480	834.540663	802.542817
1991			
 0-4	3088.947522	1565.920047	1523.027475
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	3.735429	1.138881	2.596548
 20-24 	32.550248	12.688921	19.861327
 25-29 	108.361031	50.305350	58.055682
 30-34 	120.471631	61.407141	59.064489
 35-39 	131.271680	71.311214	59.960465
 40-44 	105.300317	58.162165	47.138152
 45-49 	122.462697	64.927122	57.535574
 50-54 	94.339676	47.394737	46.944938
 55-59 	56.283368	27.827823	28.455545
 60-64 	32.474117	17.178811	15.295306
 65-69 	19.039412	10.704814	8.334597
 70-74 	12.934879	6.608630	6.326249
 75-79 	6.261676	2.989300	3.272376
 80+ 	0.678971	0.559640	0.119331
Total	3935.112654	1999.124597	1935.988057
1992			
 0-4	6266.009335	3176.255773	3089.753562
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.366102	2.760632	6.605471
 20-24 	91.361146	34.239915	57.121231
 25-29 	308.376694	138.875557	169.501138
 30-34 	345.144110	171.385581	173.758529
 35-39 	370.126642	196.175695	173.950947
 40-44 	300.473781	162.353536	138.120246
 45-49 	335.657666	174.803606	160.854060
 50-54 	260.018586	128.171300	131.847286
 55-59 	154.444637	74.468012	79.976625
 60-64 	89.188688	45.960475	43.228213
 65-69 	51.931152	28.790414	23.140738
 70-74 	34.576346	17.444783	17.131563
 75-79 	17.409352	8.068570	9.340782
 80+ 	1.998187	1.570432	0.427756
Total	8636.082425	4361.324281	4274.758144
1993			
 0-4	11489.903436	5827.158589	5662.744847
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	21.193769	6.051641	15.142127
 20-24 	227.736973	82.274283	145.462690
 25-29 	784.013992	343.213282	440.800711
 30-34 	882.232240	428.368905	453.863335
 35-39 	934.226592	484.358675	449.867917
 40-44 	768.165093	405.753072	362.412022
 45-49 	825.845559	421.108696	404.736863
 50-54 	643.085443	309.773792	333.311651
 55-59 	380.417152	178.411146	202.006006
 60-64 	220.135359	110.355810	109.779549
 65-69 	127.895807	70.075715	57.820092
 70-74 	83.498105	41.852145	41.645960
 75-79 	43.585550	19.761567	23.823983
 80+ 	5.273758	3.987751	1.286007
Total	17437.208828	8732.505068	8704.703760
1994			
 0-4	19104.085764	9706.567950	9397.517814
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	42.907367	11.872788	31.034579
 20-24 	510.479087	178.067967	332.411120
 25-29 	1799.096378	767.391021	1031.705357
 30-34 	2041.532249	974.215193	1067.317057
 35-39 	2135.580980	1087.560711	1048.020269
 40-44 	1774.916488	916.287754	858.628734
 45-49 	1841.011705	914.679650	926.332055
 50-54 	1432.090439	669.261625	762.828814
 55-59 	846.159760	383.614576	462.545183
 60-64 	490.787830	238.663067	252.124763
 65-69 	285.645169	154.703798	130.941371
 70-74 	183.892181	92.427832	91.464349
 75-79 	98.917519	44.371959	54.545560
 80+ 	12.851492	9.404104	3.447387
Total	32599.954409	16149.089997	16450.864412
1995			
 0-4	29007.581629	14775.094448	14232.487181
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	77.247854	20.738830	56.509025
 20-24 	1034.550524	349.525745	685.024779
 25-29 	3727.043183	1551.543069	2175.500113
 30-34 	4286.692444	2017.841114	2268.851330
 35-39 	4424.898342	2224.409241	2200.489101
 40-44 	3704.778307	1875.261341	1829.516966
 45-49 	3718.397358	1796.678875	1921.718483
 50-54 	2856.252743	1286.839344	1569.413399
 55-59 	1694.767658	738.854937	955.912722
 60-64 	986.813461	464.598172	522.215289
 65-69 	576.550508	307.770562	268.779946
 70-74 	368.066346	186.563021	181.503325
 75-79 	202.341966	90.664445	111.677521
 80+ 	28.706880	20.382624	8.324256
Total	56694.689204	27706.765769	28987.923435
1996			
 0-4	40755.298981	20825.166950	19930.132030
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	123.651761	32.299561	91.352200
 20-24 	1894.568291	617.157850	1277.410441
 25-29 	6978.751934	2842.579176	4136.172758
 30-34 	8191.493828	3818.659447	4372.834381
 35-39 	8342.951271	4159.315102	4183.636169
 40-44 	7022.884449	3494.460533	3528.423916
 45-49 	6850.151749	3213.574986	3636.576763
 50-54 	5140.563843	2219.329697	2921.234146
 55-59 	3069.683994	1277.749813	1791.934181
 60-64 	1795.007826	815.359812	979.648014
 65-69 	1055.234067	554.108509	501.125558
 70-74 	670.469950	344.379659	326.090291
 75-79 	374.994970	169.356265	205.638706
 80+ 	58.956549	40.790118	18.166431
Total	92324.663463	44424.287477	47900.375986
1997			
 0-4	53603.910629	27467.822617	26136.088013
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	176.658451	45.037118	131.621333
 20-24 	3139.543797	986.156663	2153.387134
 25-29 	11867.994031	4732.133235	7135.860796
 30-34 	14295.870270	6608.580429	7687.289841
 35-39 	14359.495300	7124.804413	7234.690887
 40-44 	12143.813225	5961.499855	6182.313370
 45-49 	11583.888840	5288.627594	6295.261246
 50-54 	8409.356865	3476.568123	4932.788742
 55-59 	5059.920456	2002.771255	3057.149200
 60-64 	2966.170948	1295.214260	1670.956688
 65-69 	1757.056461	904.225782	852.830679
 70-74 	1112.952347	579.354452	533.597895
 75-79 	631.391249	288.682860	342.708388
 80+ 	110.773701	74.714950	36.058751
Total	141218.796569	66836.193606	74382.602963
1998			
 0-4	66707.578598	34223.277832	32484.300766
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	227.597161	56.956657	170.640504
 20-24 	4744.988486	1440.686161	3304.302324
 25-29 	18472.286057	7196.724277	11275.561779
 30-34 	22933.033600	10488.752197	12444.281403
 35-39 	22717.619980	11235.089294	11482.530685
 40-44 	19285.593338	9384.494095	9901.099243
 45-49 	18110.249756	8105.561249	10004.688507
 50-54 	12675.902130	5058.326202	7617.575928
 55-59 	7660.348557	2890.315628	4770.032928
 60-64 	4491.918594	1881.535225	2610.383369
 65-69 	2679.786552	1345.070831	1334.715721
 70-74 	1694.541475	888.697245	805.844231
 75-79 	977.591202	451.500374	526.090828
 80+ 	190.305013	124.856493	65.448520
Total	203569.340498	94771.843762	108797.496737
1999			
 0-4	79304.557419	40649.512802	38655.044617
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	268.846298	66.607529	202.238769
 20-24 	6601.948384	1947.622517	4654.325867
 25-29 	26581.508121	10096.642773	16484.865349
 30-34 	34054.709564	15333.778625	18720.930939
 35-39 	33340.854218	16422.897308	16917.956909
 40-44 	28368.072571	13748.794067	14619.278503
 45-49 	26351.936859	11674.170959	14677.765900
 50-54 	17865.504684	6981.610794	10883.893890
 55-59 	10757.314560	3902.614319	6854.700241
 60-64 	6303.407303	2532.113007	3771.294296
 65-69 	3777.109585	1840.311180	1936.798405
 70-74 	2388.579128	1250.092316	1138.486813
 75-79 	1411.103817	654.306570	756.797247
 80+ 	301.366711	191.537018	109.829693
Total	277676.819222	127292.611784	150384.207438
2000			
 0-4	92564.420797	47326.972098	45237.448699
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	296.421243	73.270446	223.150797
 20-24 	8535.356975	2464.134831	6071.222144
 25-29 	35833.029701	13275.083382	22557.946320
 30-34 	47093.263672	20751.631714	26341.631958
 35-39 	45879.793518	22445.429077	23434.364441
 40-44 	39052.549072	18903.480316	20149.068756
 45-49 	36013.918121	15924.432434	20089.485687
 50-54 	23863.946228	9276.056458	14587.889771
 55-59 	14183.021530	5009.746231	9173.275299
 60-64 	8294.195435	3200.215302	5093.980133
 65-69 	4973.748779	2342.841309	2630.907471
 70-74 	3153.373425	1631.238670	1522.134754
 75-79 	1924.247110	889.831459	1034.415651
 80+ 	446.669434	273.703243	172.966190
Total	362107.955041	163788.066969	198319.888072
2001			
 0-4	105099.861706	53552.959572	51546.902134
 5-9	170.234564	90.522684	79.711879
 10-14 	0.000000	0.000000	0.000000
 15-19 	311.294821	77.738285	233.556536
 20-24 	10337.139845	2942.483299	7394.656546
 25-29 	45541.883350	16405.922718	29135.960632
 30-34 	61221.016724	26345.059326	34875.957397
 35-39 	59659.878052	28888.325867	30771.552185
 40-44 	50685.799622	24561.874207	26123.925415
 45-49 	46530.555603	20675.421387	25855.134216
 50-54 	30345.384247	11874.621307	18470.762939
 55-59 	17701.085678	6173.366318	11527.719360
 60-64 	10329.873581	3840.787628	6489.085953
 65-69 	6171.388664	2799.004768	3372.383896
 70-74 	3930.204132	1993.044701	1937.159431
 75-79 	2478.491207	1136.013046	1342.478161
 80+ 	626.178043	367.722862	258.455181
Total	451140.269838	201724.867976	249415.401863
2002			
 0-4	114561.167299	58203.301088	56357.866211
 5-9	793.403943	417.792933	375.611010
 10-14 	0.000000	0.000000	0.000000
 15-19 	318.951174	81.931515	237.019658
 20-24 	11807.402241	3334.671956	8472.730285
 25-29 	54894.087448	19281.272278	35612.815170
 30-34 	75500.213013	31664.563843	43835.649170
 35-39 	73919.315063	35307.577637	38611.737427
 40-44 	62515.748169	30340.947388	32174.800781
 45-49 	57274.637268	25655.188599	31619.448669
 50-54 	36975.701813	14644.674286	22331.027527
 55-59 	21072.097809	7334.088654	13738.009155
 60-64 	12295.000229	4424.692230	7870.307999
 65-69 	7278.194550	3169.691055	4108.503494
 70-74 	4663.257515	2306.380272	2356.877243
 75-79 	3021.422455	1370.758270	1650.664185
 80+ 	836.187279	469.188141	366.999138
Total	537726.787266	238006.720144	299720.067122
2003			
 0-4	109874.274990	55728.727140	54145.547850
 5-9	1997.916116	1043.072019	954.844096
 10-14 	0.000000	0.000000	0.000000
 15-19 	330.839965	90.751506	240.088459
 20-24 	12814.864496	3608.868507	9205.995989
 25-29 	63241.444473	21768.705963	41472.738510
 30-34 	88911.319824	36362.674927	52548.644897
 35-39 	87897.374634	41299.390991	46597.983643
 40-44 	73841.799805	35845.722290	37996.077515
 45-49 	67659.891052	30565.176025	37094.715027
 50-54 	43382.271454	17399.338776	25982.932678
 55-59 	24147.885803	8443.368408	15704.517395
 60-64 	14088.423965	4931.271286	9157.152679
 65-69 	8231.245552	3438.462914	4792.782639
 70-74 	5304.726120	2552.844566	2751.881554
 75-79 	3501.778519	1573.479256	1928.299263
 80+ 	1073.060577	577.073151	495.987427
Total	606299.117345	265228.927725	341070.189620
2004			
 0-4	104655.651897	53052.987136	51602.664761
 5-9	3949.129375	2048.724253	1900.405122
 10-14 	0.000000	0.000000	0.000000
 15-19 	368.710147	114.432473	254.277674
 20-24 	13344.843313	3764.402026	9580.441287
 25-29 	70230.120977	23835.420818	46394.700158
 30-34 	100882.138566	40331.047136	60551.091430
 35-39 	101009.779429	46576.788181	54432.991248
 40-44 	84314.363216	40843.375356	43470.987860
 45-49 	77391.970243	35246.654139	42145.316105
 50-54 	49372.363199	20049.185092	29323.178107
 55-59 	26969.456914	9519.486995	17449.969918
 60-64 	15670.987561	5363.432848	10307.554712
 65-69 	9028.842443	3618.393278	5410.449165
 70-74 	5836.551014	2729.389366	3107.161648
 75-79 	3899.431459	1734.346332	2165.085127
 80+ 	1334.605906	693.047253	641.558653
Total	668258.945658	289521.112683	378737.832976
2005			
 0-4	102258.451604	51854.530692	50403.920911
 5-9	6501.233554	3362.421070	3138.812485
 10-14 	0.000000	0.000000	0.000000
 15-19 	474.036195	173.168302	300.867893
 20-24 	13550.199956	3833.348458	9716.851498
 25-29 	77636.084254	25939.026410	51697.057844
 30-34 	115210.372231	44826.735321	70383.636909
 35-39 	117010.641285	52328.319622	64682.321663
 40-44 	97750.435894	46668.537838	51081.898056
 45-49 	89822.901024	40806.007393	49016.893631
 50-54 	57681.831722	23415.399078	34266.432644
 55-59 	31158.119921	10982.757006	20175.362915
 60-64 	17941.401116	5950.946135	11990.454982
 65-69 	10193.888054	3869.320905	6324.567149
